material,replicate,cycle,pred_retention,ci_lo,ci_hi
KCoHCF,1,15308.406848109247,84.53577528250112,84.45777754630319,84.61377301869905
KCoHCF,1,15392.590898852712,84.52540080820376,84.44723710690134,84.60356450950617
KCoHCF,1,15477.2378948569,84.51502633021036,84.43669625962485,84.59335640079587
KCoHCF,1,15562.350381952201,84.50465184854114,84.42615500706336,84.58314869001893
KCoHCF,1,15647.930919969038,84.49427736321621,84.41561335179078,84.57294137464164
KCoHCF,1,15733.982082814839,84.48390287425555,84.40507129636534,84.56273445214576
KCoHCF,1,15820.506458551561,84.47352838167903,84.3945288433296,84.55252792002847
KCoHCF,1,15907.506649473356,84.46315388550644,84.38398599521055,84.54232177580234
KCoHCF,1,15994.985272184946,84.45277938575745,84.3734427545196,84.5321160169953
KCoHCF,1,16082.944957680296,84.44240488245161,84.36289912375265,84.52191064115057
KCoHCF,1,16171.38835142175,84.43203037560836,84.35235510539009,84.51170564582664
KCoHCF,1,16260.318113419584,84.42165586524706,84.3418107018969,84.50150102859722
KCoHCF,1,16349.736918312012,84.41128135138693,84.33126591572267,84.4912967870512
KCoHCF,1,16439.64745544563,84.40090683404713,84.32072074930164,84.48109291879263
KCoHCF,1,16530.052428956267,84.39053231324667,84.31017520505274,84.47088942144059
KCoHCF,1,16620.954557850448,84.38015778900447,84.2996292853797,84.46068629262925
KCoHCF,1,16712.356576086964,84.36978326133936,84.28908299267101,84.45048353000772
KCoHCF,1,16804.261232659243,84.35940873027006,84.27853632930004,84.44028113124008
KCoHCF,1,16896.67129167798,84.34903419581518,84.26798929762508,84.43007909400528
KCoHCF,1,16989.589532454283,84.33865965799323,84.25744189998936,84.4198774159971
KCoHCF,1,17083.01874958323,84.32828511682266,84.24689413872116,84.40967609492415
KCoHCF,1,17176.961753028037,84.31791057232172,84.23634601613381,84.39947512850964
KCoHCF,1,17271.421368204392,84.30753602450865,84.22579753452575,84.38927451449155
KCoHCF,1,17366.40043606554,84.29716147340157,84.21524869618071,84.37907425062244
KCoHCF,1,17461.901813187724,84.2867869190185,84.20469950336755,84.36887433466944
KCoHCF,1,17557.928371856062,84.27641236137734,84.19414995834052,84.35867476441416
KCoHCF,1,17654.483000150973,84.2660378004959,84.18360006333916,84.34847553765263
KCoHCF,1,17751.568602035004,84.25566323639192,84.17304982058853,84.33827665219532
KCoHCF,1,17849.18809744016,84.24528866908301,84.16249923229913,84.3280781058669
KCoHCF,1,17947.344422355847,84.2349140985867,84.151948300667,84.3178798965064
KCoHCF,1,18046.040528916972,84.22453952492042,84.14139702787382,84.30768202196701
KCoHCF,1,18145.279385492864,84.2141649481015,84.13084541608696,84.29748448011604
KCoHCF,1,18245.06397677653,84.20379036814718,84.12029346745949,84.28728726883487
KCoHCF,1,18345.397303874408,84.19341578507462,84.10974118413036,84.27709038601888
KCoHCF,1,18446.282384396625,84.18304119890087,84.0991885682243,84.26689382957743
KCoHCF,1,18547.722252547734,84.17266660964286,84.08863562185206,84.25669759743366
KCoHCF,1,18649.719959218106,84.1622920173175,84.07808234711038,84.24650168752461
KCoHCF,1,18752.278572075465,84.15191742194152,84.067528746082,84.23630609780103
KCoHCF,1,18855.401175657313,84.14154282353164,84.05697482083593,84.22611082622734
KCoHCF,1,18959.09087146364,84.13116822210442,84.0464205734273,84.21591587078154
KCoHCF,1,19063.35077805022,84.12079361767638,84.0358660058975,84.20572122945526
KCoHCF,1,19168.184031122404,84.11041901026394,84.02531112027437,84.19552690025351
KCoHCF,1,19273.593783629432,84.10004439988339,84.01475591857202,84.18533288119475
KCoHCF,1,19379.583205859202,84.08966978655099,84.00420040279117,84.1751391703108
KCoHCF,1,19486.1554855338,84.07929517028286,83.99364457491905,84.16494576564668
KCoHCF,1,19593.313827905124,84.06892055109508,83.98308843692948,84.15475266526067
KCoHCF,1,19701.061455851446,84.05854592900357,83.972531990783,84.14455986722415
KCoHCF,1,19809.4016099743,84.04817130402427,83.96197523842696,84.13436736962157
